image_id,source,rel_path,sha256,width_px,height_px,modality,material,has_defect,n_defects,defect_types,iso_codes,src_labels_raw,label_type,has_localization,phash_hex,group_id,group_size,strata_key,split,client,eval_subset,thickness_mm,thickness_source,px_per_mm,scale_source,quality_level,ingest_version,label_map_version,notes
aihub71761:data/raw/aihub71761/RT/ST/w00492_f0.png,aihub71761,data/raw/aihub71761/RT/ST/w00492_f0.png,001ac1c31ce34bad410ca80048a737187ce6fb9e916d02f3fbc9ab1d993ff9b0,1280,720,RT,ST,True,1,porosity,2011,기공,polygon,True,ebdcb2df5f2a14e1f49475e3504161ecec8cb92ff3ae425b909ae825a4f486ab,grp_ST_001ac1c31ce3,4,ST|porosity,train,C1,,,none,,none,,aihub-mock-v1,1,MOCK — 실이미지 없음. 스키마 검증·선행 개발 전용
aihub71761:data/raw/aihub71761/RT/AL/w00088_f0.png,aihub71761,data/raw/aihub71761/RT/AL/w00088_f0.png,00239bb9868816481179039eb19fc0bb76a46f3997b2241581d318f01e5afb51,1280,720,RT,AL,True,2,porosity;slag_inclusion,2011;301,기공;슬래그혼입,polygon,True,84eb0c560d56d2dc35b399c636adc23ac3a226eb39aefeb736f23bb45ee6e12c,grp_AL_00239bb98688,1,AL|slag_inclusion,val,C3,,,none,,none,,aihub-mock-v1,1,MOCK — 실이미지 없음. 스키마 검증·선행 개발 전용
aihub71761:data/raw/aihub71761/RT/AL/w00108_f0.png,aihub71761,data/raw/aihub71761/RT/AL/w00108_f0.png,00957e30b41cb6b7e0bb52420db1c01135bab5042a50e52719d2e0d19a0949af,1280,720,RT,AL,False,0,,,,polygon,True,1c6b03b2043fe60274d57edbadebd7857dd1227d8e468655a52c603a60083146,grp_AL_00957e30b41c,1,AL|__normal__,eval,,,,none,,none,,aihub-mock-v1,1,MOCK — 실이미지 없음. 스키마 검증·선행 개발 전용
aihub71761:data/raw/aihub71761/RT/AL/w00101_f0.png,aihub71761,data/raw/aihub71761/RT/AL/w00101_f0.png,00dc0566c25a20f71b68cc7f9e6a4f33c52d8432540e8c50a1f276932a241ce1,1280,720,RT,AL,True,1,porosity,2011,기공,polygon,True,e7b119b7ee3b2eb147ca69ca0310a41a33da1aaf6906236f7a6a01314fde9f18,grp_AL_00dc0566c25a,1,AL|porosity,train,C3,,,none,,none,,aihub-mock-v1,1,MOCK — 실이미지 없음. 스키마 검증·선행 개발 전용
aihub71761:data/raw/aihub71761/RT/ST/w00131_f1.png,aihub71761,data/raw/aihub71761/RT/ST/w00131_f1.png,00e46319d2a6c366aaeedfe1dc4aa19831e474ca8594d6867d0fc0bb50aa5a17,1280,720,RT,ST,False,0,,,,polygon,True,dcba5c8008a17cc34639d68cff0824e5b565491ebe936a9f7b620b34eb543bdf,grp_ST_00e46319d2a6,3,ST|__normal__,train,C2,,,none,,none,,aihub-mock-v1,1,MOCK — 실이미지 없음. 스키마 검증·선행 개발 전용
aihub71761:data/raw/aihub71761/RT/ST/w00333_f0.png,aihub71761,data/raw/aihub71761/RT/ST/w00333_f0.png,010ff1b9af16c3a7b90af6c9a82b1a1622a6e8a5edcf68eb0b977028db6468d3,1280,720,RT,ST,False,0,,,,polygon,True,978a809aa026984310edeeed2d26670b09e4d0a95d15fbf0528608577979a9c7,grp_ST_010ff1b9af16,1,ST|__normal__,train,C2,,,none,,none,,aihub-mock-v1,1,MOCK — 실이미지 없음. 스키마 검증·선행 개발 전용
aihub71761:data/raw/aihub71761/RT/ST/w00041_f2.png,aihub71761,data/raw/aihub71761/RT/ST/w00041_f2.png,01245700d531a83561ae6a362598554b1ac39edc3d1cb88c0fa652b328a0f849,1280,720,RT,ST,True,1,porosity,2011,기공,polygon,True,3c4d346ca683caabddb4eaad2b44808eb8242803981d07239f7ab2f4768da291,grp_ST_01245700d531,3,ST|porosity,train,C1,,,none,,none,,aihub-mock-v1,1,MOCK — 실이미지 없음. 스키마 검증·선행 개발 전용
aihub71761:data/raw/aihub71761/RT/ST/w00064_f0.png,aihub71761,data/raw/aihub71761/RT/ST/w00064_f0.png,0158ed821294303e063c3de7a18f4bb1eb7964dc0570ed2aa50a7846543d25e0,1280,720,RT,ST,True,2,porosity;slag_inclusion,2011;301,기공;슬래그혼입,polygon,True,e4f658fbb3935ae2d3ed4bba4344bfa76585f13dd8625c5bec19861dfd9ede52,grp_ST_0158ed821294,1,ST|slag_inclusion,eval,,,,none,,none,,aihub-mock-v1,1,MOCK — 실이미지 없음. 스키마 검증·선행 개발 전용
aihub71761:data/raw/aihub71761/RT/ST/w00090_f1.png,aihub71761,data/raw/aihub71761/RT/ST/w00090_f1.png,016a5a3602e4ee0cd0f3516073e27b0f468d39d19c6ed78e96f55ee60a0d4f8c,1280,720,RT,ST,True,1,porosity,2011,기공,polygon,True,486067d25a185660007cafa0e7cbf4cfc2ce901d3e018d8ae22728036265b464,grp_ST_016a5a3602e4,2,ST|porosity,train,C1,,,none,,none,,aihub-mock-v1,1,MOCK — 실이미지 없음. 스키마 검증·선행 개발 전용
aihub71761:data/raw/aihub71761/RT/ST/w00196_f1.png,aihub71761,data/raw/aihub71761/RT/ST/w00196_f1.png,018c075793e926de9fd870c3e12c33cd4f8c2fff9e64dc0f19ab41ed43e768ec,1280,720,RT,ST,True,1,lack_of_fusion,401,융합불량,polygon,True,962bc758705c867fb25c28638ac9151a9d650d10827128083f915304abeb22e5,grp_ST_018c075793e9,3,ST|lack_of_fusion,train,C1,,,none,,none,,aihub-mock-v1,1,MOCK — 실이미지 없음. 스키마 검증·선행 개발 전용
